product_name,product_price
"Florence Foresti : Épilogue,Grey's Anatomy : Saison 16 [DVD],Total Recall [4K Ultra HD Blu-Ray Bonus-Édition boîtier SteelBook],Greenland-Le Dernier Refuge [Édition SteelBook],Le Parrain-3ème Partie [Épilogue-La Mort de Michael Corleone],Greenland-Le Dernier Refuge,Patrick Bruel-Ce Soir. Ensemble (Tour 2019-2020) [Blu-Ray + CD],Vikings : Saison 6 Partie 1-avec Version Francaise [DVD],Les Blagues de Toto,Les Mystérieuses Cités d'or-Saison 4-Partie 1,Vikings : Saison 6 Partie 1-avec Version Francaise [Blu-Ray],DE Gaulle-L'Eclat et Le Secret,IP Man 4 : Le Dernier Combat [Blu-Ray],La Guerre des trônes, la véritable Histoire de l'europe-Intégrale Saisons 1 à 3,IP Man-1-2-3-4 [Blu-Ray],The Good Doctor-Saison 3","29,99,24,98,15,05,18,56,19,99,29,99,17,68,17,68,32,50,16,98,19,99,24,99,40,13,24,99"
Florence Foresti : Épilogue,
Grey's Anatomy : Saison 16 [DVD],"29,99"
Total Recall [4K Ultra HD Blu-Ray Bonus-Édition boîtier SteelBook],
Greenland-Le Dernier Refuge [Édition SteelBook],"24,98"
Le Parrain-3ème Partie [Épilogue-La Mort de Michael Corleone],"15,05"
Greenland-Le Dernier Refuge,"18,56"
Patrick Bruel-Ce Soir. Ensemble (Tour 2019-2020) [Blu-Ray + CD],"19,99"
Vikings : Saison 6 Partie 1-avec Version Francaise [DVD],"29,99"
Les Blagues de Toto,"17,68"
Les Mystérieuses Cités d'or-Saison 4-Partie 1,"17,68"
Vikings : Saison 6 Partie 1-avec Version Francaise [Blu-Ray],"32,50"
DE Gaulle-L'Eclat et Le Secret,"16,98"
IP Man 4 : Le Dernier Combat [Blu-Ray],"19,99"
"La Guerre des trônes, la véritable Histoire de l'europe-Intégrale Saisons 1 à 3","24,99"
IP Man-1-2-3-4 [Blu-Ray],"40,13"
The Good Doctor-Saison 3,"24,99"
,
,
